feature,importance
num__G2,0.2985326335012061
num__G1,0.18456181057329646
num__failures,0.0366125850854216
num__absences,0.028074461285393443
num__age,0.019998541802271855
num__Medu,0.019867804636896892
num__goout,0.018735485674723346
num__Walc,0.018012847659264822
num__health,0.017411757007091723
num__freetime,0.01644040386102314
num__Fedu,0.016248883062343348
num__studytime,0.015396324894538306
cat__subject_por,0.014112713965720395
num__famrel,0.013410803460487989
num__Dalc,0.013380667156304784
num__traveltime,0.011737866659521081
cat__subject_mat,0.011684666809407251
cat__schoolsup_yes,0.008911272447227666
cat__higher_yes,0.008850518374697556
cat__schoolsup_no,0.008566156978910387
cat__higher_no,0.008007895258416596
cat__reason_reputation,0.00739005894042434
cat__reason_course,0.007093287394339138
cat__Fjob_other,0.007080014862508652
cat__sex_F,0.006962980994400825
cat__activities_yes,0.006929469624754838
cat__activities_no,0.006911359393412757
cat__school_GP,0.0067966923377104135
cat__school_MS,0.006745703147364377
cat__romantic_no,0.006649681184887756
cat__sex_M,0.006493648400717539
cat__famsup_no,0.00637806088377326
cat__famsize_GT3,0.0061992327358005445
cat__Mjob_other,0.006198491646762883
cat__romantic_yes,0.006191347450847155
cat__famsup_yes,0.0061530884724627834
cat__paid_no,0.006119844168080521
cat__Fjob_services,0.005820315630287651
cat__guardian_father,0.005764217051894082
cat__internet_yes,0.00569809352054234
cat__paid_yes,0.005649783865001187
cat__nursery_no,0.005616748132665989
cat__address_U,0.0056129842563866685
cat__guardian_mother,0.00559651353741645
cat__reason_home,0.005401017329487918
cat__famsize_LE3,0.00533153400578031
cat__nursery_yes,0.005226498859132706
cat__address_R,0.005137661505537531
cat__Mjob_services,0.005056019119448667
cat__internet_no,0.004977783921049864
cat__Mjob_at_home,0.004970885228871951
cat__reason_other,0.0037710190153709723
cat__Fjob_at_home,0.003735059587264845
cat__Mjob_health,0.003702391619524013
cat__Mjob_teacher,0.003652568361792602
cat__Pstatus_T,0.003529996836879017
cat__Pstatus_A,0.003457963650257405
cat__guardian_other,0.0031265065714092943
cat__Fjob_teacher,0.002900875318411332
cat__Fjob_health,0.0014145012831747025
